M1_TOA_us, M1_STE     , M1_ZCR, M1_PEAK, M2_TOA_us, M2_STE    , M2_ZCR, M2_PEAK, Lokasi
807057083, 962.88     , 0.09  , 94     , 807062657, 2471.83   , 0.0   , 82     , Dekat Mic1
807556971, 5911.92    , 0.08  , 161    , 807559028, 2624.83   , 0.0   , 90     , Dekat Mic1
808065978, 1842.51    , 0.11  , 110    , 808056358, 450.73    , 0.09  , 56     , Dekat Mic2
808558435, 5820.68    , 0.02  , 155    , 808556339, 1530.01   , 0.08  , 73     , Dekat Mic2
809058650, 23760810.0 , 0.01  , 10298  , 809058221, 310042.5  , 0.01  , 1379   , Dekat Mic2
809566707, 1645.54    , 0.13  , 95     , 809562119, 4439.31   , 0.0   , 93     , Dekat Mic2
810064151, 589.42     , 0.24  , 67     , 810057196, 3381.25   , 0.0   , 94     , Dekat Mic2
810565951, 5856.75    , 0.03  , 159    , 810566281, 1536.41   , 0.08  , 92     , Dekat Mic1
811057217, 458738.81  , 0.01  , 1590   , 811062194, 1507.27   , 0.11  , 103    , Dekat Mic1
811562786, 6336850.5  , 0.0   , 4044   , 811561043, 51249.3   , 0.01  , 481    , Dekat Mic2
812057822, 1971.04    , 0.11  , 110    , 812056443, 428.12    , 0.09  , 50     , Dekat Mic2
812564632, 4441.22    , 0.04  , 123    , 812556982, 1809.14   , 0.04  , 74     , Dekat Mic2
813057807, 87055.34   , 0.01  , 604    , 813066147, 1457.26   , 0.12  , 98     , Dekat Mic1
813564582, 1011.9     , 0.15  , 80     , 813556784, 869.17    , 0.02  , 69     , Dekat Mic2
814067662, 1477.73    , 0.14  , 110    , 814063874, 4400.2    , 0.02  , 108    , Dekat Mic2
814566021, 28581300.0 , 0.01  , 10160  , 814560879, 707366.88 , 0.0   , 1978   , Dekat Mic2
815065853, 2107.13    , 0.21  , 105    , 815065603, 907.54    , 0.12  , 72     , Dekat Mic2
815559797, 550.57     , 0.21  , 86     , 815566727, 2657.74   , 0.0   , 97     , Dekat Mic1
816058938, 1793.7     , 0.06  , 95     , 816056964, 2455.72   , 0.08  , 94     , Dekat Mic2
816557226, 3029.97    , 0.05  , 153    , 816557993, 3132.13   , 0.0   , 80     , Dekat Mic1
817060588, 1005.81    , 0.13  , 79     , 817058458, 3363.51   , 0.0   , 90     , Dekat Mic2
817561257, 485.79     , 0.19  , 63     , 817559548, 862.74    , 0.03  , 58     , Dekat Mic2
818064111, 91605.64   , 0.02  , 547    , 818057873, 7644.58   , 0.03  , 187    , Dekat Mic2
818566741, 1781.94    , 0.13  , 102    , 818564976, 4264.79   , 0.0   , 96     , Dekat Mic2
819067172, 760.77     , 0.18  , 79     , 819063930, 4465.04   , 0.0   , 103    , Dekat Mic2
819565483, 1735.25    , 0.08  , 111    , 819557989, 718.19    , 0.04  , 54     , Dekat Mic2
820061420, 4531601.5  , 0.0   , 3523   , 820060358, 8359.38   , 0.02  , 220    , Dekat Mic2
820564426, 2179.58    , 0.07  , 108    , 820561714, 2725.51   , 0.0   , 85     , Dekat Mic2
821064254, 1297.02    , 0.18  , 103    , 821056909, 473.11    , 0.08  , 56     , Dekat Mic2
821568052, 168125.78  , 0.02  , 1018   , 821566697, 38765.34  , 0.01  , 615    , Dekat Mic2
822064921, 438.64     , 0.29  , 59     , 822056805, 2426.26   , 0.0   , 101    , Dekat Mic2
822565735, 1279.76    , 0.07  , 78     , 822556336, 900.67    , 0.03  , 67     , Dekat Mic2
823064979, 1236.35    , 0.06  , 84     , 823057662, 1953.0    , 0.0   , 77     , Dekat Mic2
823558599, 241347.28  , 0.03  , 917    , 823563495, 3013.1    , 0.01  , 125    , Dekat Mic1
824058784, 1220.56    , 0.08  , 77     , 824056384, 837.59    , 0.01  , 62     , Dekat Mic2
824562779, 5627.64    , 0.09  , 146    , 824565213, 1557.56   , 0.04  , 74     , Dekat Mic1
825066205, 45000.06   , 0.02  , 416    , 825060203, 2545.15   , 0.07  , 112    , Dekat Mic2
825560494, 2444.67    , 0.09  , 102    , 825566370, 2839.59   , 0.0   , 97     , Dekat Mic1
826059447, 2416.14    , 0.08  , 110    , 826056272, 756.25    , 0.25  , 77     , Dekat Mic2
826557193, 25466710.0 , 0.0   , 11615  , 826556850, 275066.97 , 0.01  , 1472   , Dekat Mic2
827060137, 4871.98    , 0.06  , 122    , 827066048, 1789.69   , 0.04  , 80     , Dekat Mic1
827566225, 7802.65    , 0.06  , 178    , 827556813, 1561.13   , 0.1   , 103    , Dekat Mic2
828062305, 1446.88    , 0.09  , 92     , 828056392, 1554.19   , 0.0   , 84     , Dekat Mic2
828559196, 392727.84  , 0.01  , 1346   , 828557294, 1774.34   , 0.16  , 114    , Dekat Mic2
829060538, 2000.86    , 0.09  , 103    , 829061679, 3995.11   , 0.01  , 115    , Dekat Mic1
829567350, 2235.09    , 0.04  , 101    , 829563516, 2955.42   , 0.0   , 84     , Dekat Mic2
830065364, 186851.64  , 0.0   , 712    , 830057812, 6513.31   , 0.05  , 146    , Dekat Mic2
830557078, 3018.19    , 0.09  , 164    , 830557628, 655.36    , 0.11  , 68     , Dekat Mic1
831059170, 1960.52    , 0.04  , 106    , 831061640, 3412.37   , 0.0   , 94     , Dekat Mic1
831566496, 3691.19    , 0.01  , 119    , 831559274, 3181.33   , 0.0   , 99     , Dekat Mic2
832057193, 2795.23    , 0.05  , 109    , 832058663, 2744.21   , 0.03  , 113    , Dekat Mic1
832557487, 7809.97    , 0.04  , 211    , 832562182, 2388.54   , 0.0   , 91     , Dekat Mic1
833066446, 1062.39    , 0.12  , 80     , 833066226, 2102.46   , 0.07  , 95     , Dekat Mic2
833566087, 3321.96    , 0.08  , 140    , 833557809, 1239.9    , 0.06  , 73     , Dekat Mic2
834064967, 11782.43   , 0.04  , 249    , 834058359, 3184.79   , 0.0   , 107    , Dekat Mic2
834557671, 867.35     , 0.17  , 83     , 834558250, 4238.96   , 0.0   , 108    , Dekat Mic1
835065411, 2030.77    , 0.04  , 104    , 835057404, 3186.26   , 0.0   , 89     , Dekat Mic2
835560092, 555748.88  , 0.01  , 1739   , 835564197, 13454.71  , 0.02  , 262    , Dekat Mic1
836057810, 7159.58    , 0.05  , 194    , 836058958, 4560.24   , 0.0   , 110    , Dekat Mic1
836558573, 2866.89    , 0.05  , 116    , 836556609, 2928.14   , 0.0   , 101    , Dekat Mic2
837066935, 8492.39    , 0.11  , 195    , 837066858, 3638.97   , 0.0   , 94     , Dekat Mic2
837557306, 5537.07    , 0.08  , 166    , 837559025, 1327.89   , 0.12  , 77     , Dekat Mic1
838058822, 5599.22    , 0.06  , 156    , 838065585, 1404.3    , 0.07  , 82     , Dekat Mic1
838565382, 2367.09    , 0.04  , 99     , 838566623, 1075.84   , 0.08  , 77     , Dekat Mic1
839058231, 457137.12  , 0.01  , 1631   , 839056753, 52881.08  , 0.01  , 423    , Dekat Mic2
839565471, 1625.39    , 0.04  , 90     , 839565295, 3223.78   , 0.04  , 99     , Dekat Mic2
840067902, 9168.77    , 0.04  , 248    , 840065069, 1307.38   , 0.04  , 72     , Dekat Mic2
840562107, 1159.29    , 0.05  , 73     , 840556752, 643.74    , 0.15  , 65     , Dekat Mic2
841057398, 3498636.75 , 0.0   , 4232   , 841056319, 151576.42 , 0.01  , 909    , Dekat Mic2
841561338, 23268.34   , 0.04  , 288    , 841566127, 3357.33   , 0.02  , 98     , Dekat Mic1
842058739, 22044.9    , 0.01  , 301    , 842060529, 1371.46   , 0.06  , 98     , Dekat Mic1
842559528, 5941155.0  , 0.0   , 5577   , 842558370, 250988.77 , 0.01  , 1139   , Dekat Mic2
843058201, 36200.89   , 0.01  , 416    , 843065556, 2702.61   , 0.04  , 112    , Dekat Mic1
843565563, 26878.05   , 0.01  , 259    , 843557040, 945.62    , 0.08  , 80     , Dekat Mic2
844064017, 51151.1    , 0.01  , 407    , 844063814, 5065.15   , 0.0   , 142    , Dekat Mic2
844563876, 3031589.0  , 0.0   , 2787   , 844559822, 8566.19   , 0.05  , 220    , Dekat Mic2
845060926, 4408.35    , 0.08  , 171    , 845061290, 980.67    , 0.03  , 67     , Dekat Mic1
845567369, 2726.45    , 0.14  , 171    , 845558979, 1446.17   , 0.07  , 83     , Dekat Mic2
846066761, 140884.38  , 0.09  , 1942   , 846066549, 18961.89  , 0.02  , 710    , Dekat Mic2
846558352, 15912.81   , 0.03  , 281    , 846561879, 2473.45   , 0.0   , 79     , Dekat Mic1
847057110, 9043.26    , 0.02  , 156    , 847064876, 1773.78   , 0.09  , 91     , Dekat Mic1
847565728, 14651.4    , 0.03  , 243    , 847564864, 1190.57   , 0.03  , 66     , Dekat Mic2
848059193, 2995672.0  , 0.0   , 3416   , 848056276, 70938.28  , 0.02  , 777    , Dekat Mic2
848558106, 6033.25    , 0.02  , 166    , 848562896, 4789.69   , 0.0   , 113    , Dekat Mic1
849058000, 4984.24    , 0.08  , 151    , 849066492, 2689.59   , 0.05  , 99     , Dekat Mic1
849563290, 59671672.0 , 0.01  , 17069  , 849563400, 1780092.38, 0.01  , 2631   , Dekat Mic1
850057938, 17925.2    , 0.01  , 260    , 850064323, 2997.47   , 0.04  , 103    , Dekat Mic1
850557108, 4831.02    , 0.02  , 137    , 850561804, 1319.51   , 0.14  , 77     , Dekat Mic1
851061465, 3113.84    , 0.05  , 117    , 851066280, 2112.99   , 0.01  , 80     , Dekat Mic1
851562887, 83535.7    , 0.01  , 494    , 851557868, 2376.34   , 0.04  , 104    , Dekat Mic2
852065115, 4727.99    , 0.04  , 158    , 852056543, 1491.4    , 0.02  , 93     , Dekat Mic2
852565251, 2354.41    , 0.13  , 134    , 852557275, 1270.87   , 0.06  , 70     , Dekat Mic2
853062783, 1344697.75 , 0.0   , 1918   , 853058917, 3194.78   , 0.06  , 118    , Dekat Mic2
853563737, 10298.46   , 0.04  , 212    , 853564704, 3663.28   , 0.0   , 115    , Dekat Mic1
854065057, 3028.51    , 0.06  , 112    , 854065728, 3621.7    , 0.0   , 90     , Dekat Mic1
854566076, 8201.4     , 0.03  , 188    , 854563665, 858.9     , 0.03  , 57     , Dekat Mic2
855060431, 8828.18    , 0.04  , 191    , 855063273, 2460.58   , 0.0   , 78     , Dekat Mic1
855557233, 5392.94    , 0.04  , 152    , 855556985, 2279.99   , 0.0   , 100    , Dekat Mic2
856060370, 18458.17   , 0.02  , 232    , 856064238, 2895.27   , 0.03  , 101    , Dekat Mic1
856561152, 2551222.75 , 0.0   , 3194   , 856564921, 122011.83 , 0.01  , 593    , Dekat Mic1
857062508, 95944.31   , 0.01  , 475    , 857058933, 2748.2    , 0.02  , 94     , Dekat Mic2
857558964, 136311.25  , 0.01  , 645    , 857559418, 1508.59   , 0.04  , 79     , Dekat Mic1
858066140, 79535.39   , 0.01  , 373    , 858067242, 4797.92   , 0.02  , 126    , Dekat Mic1
858566851, 31786.18   , 0.01  , 298    , 858559553, 841.05    , 0.14  , 66     , Dekat Mic2
859062851, 16293.82   , 0.03  , 262    , 859061822, 3526.21   , 0.06  , 108    , Dekat Mic2
859559147, 6996.65    , 0.07  , 182    , 859559788, 4619.88   , 0.02  , 110    , Dekat Mic1
