M1_TOA_us, M1_STE     , M1_ZCR, M1_PEAK, M2_TOA_us, M2_STE    , M2_ZCR, M2_PEAK, Lokasi
706566927, 6392.19    , 0.03  , 169    , 706557350, 1916.11   , 0.16  , 96     , Dekat Mic2
707059322, 12285.31   , 0.03  , 246    , 707063556, 1009.61   , 0.09  , 69     , Dekat Mic1
707559516, 24825.96   , 0.01  , 277    , 707564234, 1615.64   , 0.03  , 81     , Dekat Mic1
708056939, 1529.12    , 0.1   , 93     , 708065641, 3745.62   , 0.01  , 101    , Dekat Mic1
708561133, 3441.53    , 0.06  , 140    , 708557096, 1251.17   , 0.09  , 78     , Dekat Mic2
709056912, 1193829.12 , 0.01  , 2474   , 709057730, 13975.56  , 0.03  , 257    , Dekat Mic1
709563555, 8920.18    , 0.02  , 181    , 709563483, 2328.42   , 0.1   , 102    , Dekat Mic2
710058863, 15347.63   , 0.02  , 231    , 710056250, 2392.04   , 0.01  , 105    , Dekat Mic2
710559785, 1137629.12 , 0.01  , 2175   , 710562344, 26504.53  , 0.02  , 307    , Dekat Mic1
711062636, 1949.13    , 0.09  , 93     , 711060433, 1753.41   , 0.0   , 79     , Dekat Mic2
711567110, 5899.71    , 0.1   , 156    , 711556299, 1571.29   , 0.04  , 84     , Dekat Mic2
712059067, 1058474.25 , 0.0   , 2468   , 712066522, 33116.2   , 0.01  , 401    , Dekat Mic1
712567664, 2124.89    , 0.16  , 136    , 712559708, 480.02    , 0.06  , 49     , Dekat Mic2
713060973, 3180.96    , 0.05  , 122    , 713057346, 907.53    , 0.14  , 74     , Dekat Mic2
713565196, 4580.86    , 0.07  , 162    , 713556570, 1500.58   , 0.01  , 75     , Dekat Mic2
714057080, 7384.52    , 0.04  , 185    , 714066711, 1426.67   , 0.13  , 85     , Dekat Mic1
714565494, 2730.67    , 0.08  , 128    , 714565789, 3044.85   , 0.03  , 102    , Dekat Mic1
715057500, 10190.35   , 0.06  , 254    , 715056420, 121.14    , 0.41  , 37     , Dekat Mic2
715564529, 3394598.25 , 0.0   , 3277   , 715558974, 54487.22  , 0.03  , 499    , Dekat Mic2
716057869, 4403.3     , 0.03  , 152    , 716057680, 2933.44   , 0.0   , 89     , Dekat Mic2
716565187, 10008.77   , 0.04  , 235    , 716561015, 3410.71   , 0.0   , 102    , Dekat Mic2
717063142, 212422.39  , 0.0   , 860    , 717057891, 27898.32  , 0.02  , 340    , Dekat Mic2
717562784, 2710.04    , 0.08  , 116    , 717565900, 1325.02   , 0.05  , 74     , Dekat Mic1
718058164, 4107.86    , 0.07  , 134    , 718056523, 2069.41   , 0.0   , 77     , Dekat Mic2
718560318, 14250218.0 , 0.0   , 7101   , 718561338, 324002.62 , 0.01  , 1070   , Dekat Mic1
719064562, 14223.25   , 0.03  , 250    , 719065020, 2126.73   , 0.06  , 95     , Dekat Mic1
719566217, 2545.65    , 0.07  , 105    , 719557159, 1225.73   , 0.03  , 71     , Dekat Mic2
720060775, 3107.85    , 0.05  , 133    , 720066521, 812.99    , 0.07  , 77     , Dekat Mic1
720566093, 5609.27    , 0.09  , 188    , 720556839, 1256.15   , 0.04  , 81     , Dekat Mic2
721062112, 1261.77    , 0.09  , 91     , 721059688, 2669.22   , 0.03  , 87     , Dekat Mic2
721563271, 3370.97    , 0.1   , 146    , 721560216, 1431.39   , 0.07  , 69     , Dekat Mic2
722067988, 2706.71    , 0.17  , 531    , 722065337, 1961.92   , 0.09  , 85     , Dekat Mic2
722567193, 1829.35    , 0.06  , 103    , 722565105, 2459.4    , 0.02  , 102    , Dekat Mic2
723065689, 1936.93    , 0.16  , 109    , 723057134, 1144.5    , 0.05  , 67     , Dekat Mic2
723559279, 1718.91    , 0.17  , 105    , 723564471, 2045.36   , 0.06  , 85     , Dekat Mic1
724067545, 94159.23   , 0.03  , 570    , 724059526, 3662.04   , 0.03  , 128    , Dekat Mic2
724563908, 3086.77    , 0.06  , 116    , 724556304, 909.71    , 0.06  , 66     , Dekat Mic2
725061477, 992.69     , 0.1   , 79     , 725056244, 1064.87   , 0.11  , 73     , Dekat Mic2
